#YY  MM DD hh mm WVHT  SwH  SwP  WWH  WWP SwD WWD  STEEPNESS  APD MWD
#yr  mo dy hr mn    m    m  sec    m  sec  -  degT     -      sec degT
2024 12 04 17 16  2.1  1.8 11.8  1.2  9.9  NW  NW      SWELL 10.1 324
2024 12 04 16 46  2.1  1.8 13.3  1.2  9.9  NW  NW      SWELL  9.9 323
2024 12 04 16 16  2.0  1.6 12.5  1.2  9.1  NW  NW      SWELL 10.0 323
2024 12 04 15 46  2.3  2.0 12.5  1.2  9.9  NW  NW      SWELL 10.6 317
2024 12 04 15 16  2.2  1.8 13.3  1.2  9.1  NW  NW      SWELL 10.3 321
2024 12 04 14 46  2.3  2.0 12.5  1.2  9.9  NW NNW      SWELL 10.4 317
2024 12 04 14 16  2.0  1.6 10.5  1.2  9.9  NW  NW      SWELL 10.0 314
2024 12 04 13 46  2.2  1.8 12.5  1.3  9.9  NW  NW      SWELL 10.4 320
2024 12 04 13 16  2.5  2.1 13.3  1.3  9.9  NW  NW      SWELL 10.5 324
2024 12 04 12 46  2.3  2.0 13.3  1.1  9.9  NW  NW      SWELL 10.7 325
2024 12 04 12 16  2.4  2.1 12.5  1.3  9.9  NW NNW      SWELL 10.8 324
2024 12 04 11 46  2.4  2.2 13.3  1.2  9.9 NNW NNW      SWELL 11.0 330
2024 12 04 11 16  2.5  2.2 13.3  1.1  9.1  NW NNW      SWELL 10.9 320
2024 12 04 10 46  2.2  1.9 12.5  1.1  9.9  NW  NW      SWELL 10.8 316
2024 12 04 10 16  2.5  2.2 13.3  1.2  9.9  NW  NW      SWELL 11.0 318
2024 12 04 09 46  2.1  1.8 14.3  1.1  9.9  NW  NW      SWELL 10.9 317
2024 12 04 09 16  2.3  2.0 13.3  1.2  9.9  NW NNW      SWELL 10.9 321
2024 12 04 08 46  2.3  2.0 13.3  1.1  9.1  NW NNW      SWELL 10.8 325
2024 12 04 08 16  2.7  2.5 13.3  1.3  9.9  NW  NW      SWELL 11.4 321
2024 12 04 07 46  2.2  2.0 13.3  1.1  9.9  NW NNW      SWELL 10.9 317
2024 12 04 07 16  2.0  1.7 14.3  1.1  9.9  NW  NW      SWELL 10.5 323
2024 12 04 06 46  2.4  2.1 14.3  1.3  9.9 NNW  NW      SWELL 10.9 331
2024 12 04 06 16  2.4  2.1 13.3  1.2  9.9  NW  NW      SWELL 10.9 324
2024 12 04 05 46  2.5  2.1 14.3  1.2  9.9  NW  NW      SWELL 10.9 317
2024 12 04 05 16  2.3  2.0 14.3  1.1  9.9  NW  NW      SWELL 11.0 320
2024 12 04 04 46  2.2  1.9 13.3  1.2  8.3  NW NNW      SWELL 10.4 320
2024 12 04 04 16  2.1  1.8 14.3  1.1  9.9  NW  NW      SWELL 10.8 318
2024 12 04 03 46  2.4  2.1 14.3  1.1  9.9  NW NNW      SWELL 11.4 316
2024 12 04 03 16  2.1  1.8 13.3  1.1  9.9  NW  NW      SWELL 10.7 321
2024 12 04 02 46  2.1  1.8 11.8  1.1  9.1  NW NNW      SWELL 10.5 325
2024 12 04 02 16  2.0  1.7 14.3  1.1  9.9  NW  NW      SWELL 10.5 325
2024 12 04 01 46  2.1  1.8 12.5  1.2  9.9  NW NNW      SWELL 10.4 325
2024 12 04 01 16  2.2  1.9 15.4  1.3  9.9 NNW NNW      SWELL 10.5 331
2024 12 04 00 46  2.2  1.9 15.4  1.2  9.9 NNW  NW      SWELL 10.8 330
2024 12 04 00 16  2.0  1.7 15.4  1.2  9.9 NNW  NW      SWELL 10.3 338
2024 12 03 23 46  2.1  1.8 12.5  1.2  9.9  NW NNW      SWELL 10.3 325
2024 12 03 23 16  2.1  1.8 11.8  1.1  9.9 NNW NNW      SWELL 10.4 330
2024 12 03 22 46  2.2  1.9 10.5  1.2  9.9 NNW NNW      SWELL 10.4 330
2024 12 03 22 16  2.1  1.8 11.8  1.2  9.9 NNW NNW      SWELL 10.8 330
2024 12 03 21 46  1.9  1.5 12.5  1.2  9.9 NNW NNW      SWELL 10.7 331
2024 12 03 21 16  1.9  1.5 12.5  1.1  9.9 NNW NNW      SWELL 10.7 327
2024 12 03 20 46  1.9  1.7 12.5  0.9  9.9  NW NNW      SWELL 10.9 325
2024 12 03 20 16  2.0  1.7 16.7  1.1  9.9 NNW NNW      SWELL 10.9 327
2024 12 03 19 46  2.0  1.6 11.8  1.2  9.9  NW  NW      SWELL 10.6 320
2024 12 03 19 16  2.1  1.8 11.8  1.1  9.9 NNW NNW      SWELL 11.1 327
2024 12 03 18 46  1.7  1.4 12.5  1.0  9.1  NW  NW      SWELL 10.5 321
2024 12 03 18 16  1.9  1.5 10.5  1.2  9.9 NNW  NW      SWELL 10.3 330
2024 12 03 17 46  1.9  1.5 11.8  1.1  9.9 NNW NNW      SWELL 10.4 330
2024 12 03 17 16  1.6  1.3 11.1  1.0  9.9  NW  NW      SWELL 10.2 323
2024 12 03 16 46  1.6  1.3 11.1  1.0  9.9  NW  NW      SWELL 10.2 320
2024 12 03 16 16  1.6  1.3 12.5  1.1  9.9  NW NNW      SWELL 10.3 320
2024 12 03 15 46  1.4  1.1 10.5  1.0  9.9  NW  NW      SWELL 10.0 323
2024 12 03 15 16  1.5  1.1 12.5  1.0  9.9  NW  NW      SWELL 10.0 324
2024 12 03 14 46  1.5  1.2 12.5  1.0  9.9  NW  NW      SWELL 10.4 323
2024 12 03 14 16  1.4  1.1 10.5  1.0  9.9 NNW  NW      SWELL 10.1 318
2024 12 03 13 46  1.3  1.1 11.1  0.8  9.9  NW  NW      SWELL 10.1 324
2024 12 03 13 16  1.3  1.0 11.1  0.8  9.9 NNW  NW      SWELL 10.1 327
2024 12 03 12 46  1.1  0.8 10.5  0.7  9.9  NW  NW      SWELL  9.7 323
2024 12 03 12 16  1.2  1.0 10.5  0.8  9.1  NW NNW      SWELL  9.8 323
2024 12 03 11 46  1.2  0.9 10.5  0.8  9.9  NW  NW      SWELL  9.9 321
2024 12 03 11 16  1.2  0.9 11.1  0.8  9.9 NNW NNW      SWELL  9.4 331
2024 12 03 10 46  1.0  0.8 11.1  0.7  9.9 NNW NNW      SWELL  9.4 327
2024 12 03 10 16  1.0  0.8 10.5  0.6  9.9 NNW NNW      SWELL  9.3 331
2024 12 03 09 46  1.2  0.9 11.1  0.8  9.9  NW NNW      SWELL  9.4 324
2024 12 03 09 16  1.1  0.9 10.5  0.7  9.1  NW NNW      SWELL  9.4 321
2024 12 03 08 46  1.1  0.8 11.1  0.8  9.9  NW NNW      SWELL  9.2 342
2024 12 03 08 16  1.2  1.0 11.1  0.7  9.1  NW   N      SWELL  9.0 325
2024 12 03 07 46  1.0  0.8 10.5  0.7  9.9 NNW NNW      SWELL  8.3 331
2024 12 03 07 16  1.1  0.8 11.1  0.7  9.1 NNW   N      SWELL  8.1 332
2024 12 03 06 46  1.2  0.9 11.1  0.8  9.1 NNW   N      SWELL  8.2 330
2024 12 03 06 16  1.1  0.8 11.1  0.8  9.9 NNW NNW      SWELL  7.7 328
2024 12 03 05 46  1.4  1.1 11.1  0.9  9.9  NW NNW      SWELL  8.7 324
